|family|base|nr_appearances|freq_corpus|highlighted
0|NOUN|Absicht|1|2.88e-05|False
1|NOUN|Amerikaner|1|3.63e-05|False
2|NOUN|Arbeit|3|0.000372|False
3|NOUN|Arbeiten|2|0.000372|False
4|NOUN|Art|3|0.000324|False
5|NOUN|Aspekt|1|1.51e-05|False
6|NOUN|Aufforderung|1|8.71e-06|False
7|NOUN|Aufschwung|1|7.24e-06|False
8|NOUN|Aussage|1|4.79e-05|False
9|NOUN|Aussagen|1|4.79e-05|False
10|NOUN|Beginn|1|9.77e-05|False
11|NOUN|Beispiel|2|0.000224|False
12|NOUN|Berufswelt|1|4.68e-07|False
13|NOUN|Bewusstsein|1|1.95e-05|False
14|NOUN|Brasilianer|1|3.63e-06|False
15|NOUN|Britin|1|7.41e-07|False
16|NOUN|Das|1|0.0288|True
17|NOUN|Der|1|0.0288|True
18|NOUN|Deutsche|1|0.000468|False
19|NOUN|Deutschen|1|0.000468|False
20|NOUN|Deutscher|1|0.000468|False
21|NOUN|Die|4|0.0302|True
22|NOUN|Diejenigen|1|3.16e-05|False
23|NOUN|Dies|1|0.000417|False
24|NOUN|Direktheit|7|3.63e-07|False
25|NOUN|Dozent|3|4.37e-06|False
26|NOUN|Dozenten|2|4.37e-06|False
27|NOUN|Effizientes|1|5.89e-06|False
28|NOUN|Ein|4|0.00813|False
29|NOUN|Einkauf|1|1e-05|False
30|NOUN|Einkäufe|1|1e-05|False
31|NOUN|Ende|1|0.000468|False
32|NOUN|Er|1|0.012|True
33|NOUN|Es|3|0.012|True
34|NOUN|Essen|1|0.000214|False
35|NOUN|Familie|1|0.000257|False
36|NOUN|Firmenname|1|3.98e-07|False
37|NOUN|Firmennamens|1|3.98e-07|False
38|NOUN|Fisch|4|2.19e-05|False
39|NOUN|Fokus|1|2.29e-05|False
40|NOUN|Frage|2|0.000372|False
41|NOUN|Fragen|2|0.000372|False
42|NOUN|Frankfurter|1|3.09e-05|False
43|NOUN|Geschäftsbeziehung|1|5.37e-07|False
44|NOUN|Geschäftsverhandlung|1|0.0|False
45|NOUN|Grund|1|0.000234|False
46|NOUN|Guten|1|0.000269|False
47|NOUN|Guter|1|0.000269|False
48|NOUN|Hinterkopf|1|4.47e-06|False
49|NOUN|Ich|2|0.012|True
50|NOUN|Industrialisierung|1|3.31e-06|False
51|NOUN|Information|1|0.000102|False
52|NOUN|Informationen|1|0.000102|False
53|NOUN|Informationsaustausch|1|1.15e-06|False
54|NOUN|Jahr|1|0.000692|False
55|NOUN|Jahre|1|0.000692|False
56|NOUN|Japaner/-innen|1|7.95e-06|False
57|NOUN|Japaner/:innen|1|7.95e-06|False
58|NOUN|Kassenband|1|1.32e-07|False
59|NOUN|Kassiererin|1|2.51e-06|False
60|NOUN|Kommunikation|6|3.55e-05|False
61|NOUN|Kopf|1|0.0002|False
62|NOUN|Kritik|5|0.000102|False
63|NOUN|Layout|1|3.24e-06|False
64|NOUN|Lust|1|7.08e-05|False
65|NOUN|Mal|1|0.00191|False
66|NOUN|Man|1|0.00288|False
67|NOUN|Meinung|1|0.000138|False
